Text,Category
کاپیتان تیم ملی والیبال لیگ ملت‌ها را از دست داد,sport
عطایی: همه مسابقات برای ما و مردم مهم است/ والیبال ایران به موسوی مدیون است,sport
هواداران سرخابی در یک مستند به هم می‌رسند,sport
عیدی رئیس‌جمهور به ورزشکاران/ تلاش برای نگه داشتن استقلال و پرسپولیس در لیگ قهرمانان آسیا,sport
خط و نشان قهرمان قزاق برای یزدانی و تیلور,sport
تغییر برنامه لیگ برتر بسکتبال به دلیل حضور ۲ نماینده ایران در غرب آسیا,sport
شایعه در شهر؛ سرمربی گل‌گهر برای فصل آینده انتخاب شد,sport
موسوی: برای نتیجه مناسب باید بیشتر از ۱۵۰ درصد تلاش کنیم/خستگی بهانه‌ای برای کم‌کاری نباشد,sport
اولین اردوی تیم ملی هندبال در سال جاری آغاز شد,sport
کی‌روش اهدافش از حضور در قطر را فاش کرد,sport
داورزنی: بهترین شرایط را برای تیم ملی والیبال فراهم می‌کنیم,sport
آغاز تمرینات تیم ملی والیبال برای ۴ رویداد مهم,sport
ترکیب منتخب هفته بیست‌وششم؛ سپاهان و استقلال با اختلاف کم بالاتر از پرسپولیس,sport
نگاهی به دروازه‌بان‌های گلزن فوتبال ایران/ حسینی با یک تیر دو نشان زد,sport
برنامه چهار هفته پایانی لیگ یک فوتبال اعلام شد,sport
شمارش معکوس برای برگزاری سنت دیرینه کشتی با چوخه در خراسان شمالی,sport
ناظم‌الشریعه: به زودی قرارداد می‌بندم/ در عراق به خوبی تغییر نسل دادیم,sport
کی‌روشِ شطرنج جهان در راه ایران,sport
نیویورک نیکس و ساکرامنتو کینگز گام اول را محکم برداشتند,sport
 تاکید خسروی‌وفا بر ضرورت به‌روزرسانی کمیسیون‌ها مطابق با منشور المپیک,sport
جنگ آقای گلی در تراکتور بالا گرفت؛ واکنش عجیب عباس‌زاده به گلزنی اسدی +فیلم,sport
لیگ برتر والیبال ساحلی؛ سنگ‌آهن صدرنشین شد,sport
درخشش گوش شکسته‌های مازندران در آسیا؛ از پهلوان عزیز تا رحمان بی‌رحم,sport
کوهیان: برگ برنده ذوب‌آهن جنگندگی بازیکنان است,sport
کامرانی‌فر: بی‌معرفتی بود پیشنهاد میراسماعیلی را قبول نمی‌کردم/ به کارهای سخت عادت دارم,sport
روزی روزگاری تیم ملی والیبال؛ صعود به المپیک با هیس ایگور و کمردرد معروف,sport
قضاوت ۲ داور تکواندو ایران در مسابقات قهرمانی جهان باکو,sport
رقیب کیانوش به دنبال سلطه بر وزنه‌برداری اروپا,sport
ملی‌پوش واترپلو: عنوان نایب قهرمانی آسیا با مربی داخلی رقم خورد,sport
مدرس فوتبال: فدراسیون به فکر دیدارهای تدارکاتی برای تیم ملی بانوان باشد,sport
وزن نخست المپیکی؛ پاشنه آشیل کشتی فرنگی,sport
سخنان سرمربیان فولاد خوزستان و گل گهر پس از بازی,sport
پاری‌سن‌ژرمن به فتح لوشامپیونه نزدیک‌تر شد؛ روزهای شیرین امباپه در کنار مسی,sport
تساوی بدون گل یاران صیادمنش مقابل بلک‌برن در چمپیونشیپ انگلیس,sport
طلسم دروازه کادیز در دقیقه ۷۲ شکست؛ یک مدافع به داد رئال رسید,sport
افعی‌های بدون زهر؛ اینتر سهمیه لیگ قهرمانان را نمی‌خواهد,sport
شکست هولناک هوادار مقابل استقلال و پیامک واریزی که رادوشوویچ را خوشحال کرد,sport
بُرد سپاهان با یار دوازدهم، جشن هواداران در ورزشگاه نقش جهان اصفهان,sport
فرار فولاد از شکست برابر گل‌گهر در ثانیه‌های پایانی,sport
حسینی: قصد بی‌احترامی نداشتم؛ از تیم هوادار عذرخواهی می‌کنم,sport
مردان اعزامی به مسابقات جهانی تکواندو مشخص شدند,sport
برتری ذوب‌آهن مقابل صنعت مس در پلی‌آف لیگ برتر بسکتبال,sport
چشمی: نتیجه دربی برای قهرمانی تعیین‌کننده است/حسینی نیت بدی نداشت,sport
قایدی: دنبال پنالتی زدن نیستم/ امیدوارم مهری در دربی گل بزند,sport
مهری: از فردا برای دربی آماده می‌شویم/ بابت رفتارمان از هوادار عذر می‌خواهیم,sport
مرادمند: سید پنالتی زد تا برای بازی با پرسپولیس روحیه بگیرد,sport
غلامپور: حسینی در تمرین هم پنالتی می‌زند/ پرسپولیس را می‌بریم,sport
داغِ داغ مثل تنور لیگ؛ مغانلو و نورافکن سپاهان را در کورس قهرمانی نگه داشتند,sport
شجاعیان: اختلاف هوادار و استقلال اینقدر زیاد نیست/ امیدوارم این بازی را فراموش کنیم,sport
ساپینتو: در دربی به‌دنبال تساوی نیستیم/ پنالتی‌زدن حسینی تصمیم هیجانی بود,sport
رضاوند: می‌خواهیم هوداران از دربی لذت ببرند/ مصدومم و دست‌وپا شکسته بازی می‌کنم!,sport
نیک‌نفس: اختلاف استقلال و هوادار ۶ گل نیست,sport
الهامی: استقلالی‌ها دلم را شکستند/ بدترین نتیجه دوران مربیگری‌ام رقم خورد,sport
آرمان‌گهر سیرجان بر شهرداری همدان غلبه کرد,sport
سیتی و هالند؛ توقف‌ناپذیر و غیرقابل کنترل,sport
سمیعی: یامگا به باشگاه اخطار داده/ استقلال پارسال بدهی هم نداشت اما از آسیا حذف شد,sport
ماجرای ضرب و جرح کاپیتان آلومینیوم در دیدار مقابل نساجی؛ به بهانه سلفی!,sport
شمس آذر پشت درهای لیگ برتر/ امیدهای سایپا برای صعود زنده شد,sport
تساوی پیکان و صنعت نفت؛ جدال حسینی و ویسی برنده نداشت,sport
۶ گل استقلال تقدیم به ساکت/ پیش به سوی دربی,sport
تراکتور در دقایق پایانی از شکست فرار کرد؛ اسدی ناجی خمس در انزلی,sport
قلعه‌نویی: دعوت بازیکنان لیگ به تیم ملی بازی‌ها را پرگل کرد/ لیگ پویایی داریم,sport
توقف خانگی ناپولی/ صدرنشین توانش را برای لیگ قهرمانان نگه داشت,sport
کریمی: باید تا ۳۱ فروردین بدهی‌ها را پرداخت کنیم/۲ روز آینده دل هواداران شاد می‌شود,sport
تشویق قلعه‌نویی پیش چشمان ساپینتو/ تجلیل از جانبازان ارتش,sport
تساوی استقلال و هوادار در نیمه نخست,sport
آتیلا حجازی: برنده دربی قهرمان لیگ می‌شود,sport
تمرین و ریکاوری پرسپولیسی‌ها یک‌روز پس از پیروزی دلچسب در کرمان,sport
روزهای سیاه چلسی در لندن/ شکست برنتفورد در حضور قدوس,sport
توقف بایرن در خانه/ دورتموند از پس اشتوتگارت ۱۰ نفره برنیامد,sport
بررسی وضعیت اسکیت فری‌استایل ایران در بازی‌های آسیایی,sport
ترکیب استقلال برابر هوادار مشخص شد,sport
سری‌آ ایتالیا؛ زور بولونیا و میلان به هم نرسید,sport
پاریس آخرین میعادگاه مشتزنان؛ بوکس از المپیک ۲۰۲۸ حذف می‌شود؟,sport
کمیته انضباطی تهدید کرد؛ تماشاگران لیزر بیندازند، باشگاه محروم می‌شود,sport
اسامی بازیکنان دعوت شده به اردوی تیم ملی واترپلو اعلام شد,sport
واکنش مسئول کمیته مجوز حرفه‌ای به وضعیت استقلال و پرسپولیس در آسیا,sport
حضور هزار و ۵۰۰ تکواندوکار در شیاپچانگ جهانی,sport
پیش‌پرده گفت‌وگو با دبیر؛ از نوکری ورزش تا حمله به جریان ضد انقلاب در ۹۸ ثانیه + فیلم,sport
از چمن به تاتامی؛ کامرانی‌فر سرپرست دبیری جودو شد,sport
دیدار سرپرست باشگاه استقلال با وزیر ورزش؛ کمک سجادی به سرخابی‌ها,sport
کریمی: وزارت ورزش هماهنگی‌های لازم را برای حل مشکلات استقلال انجام داده است,sport
مالک باشگاه شاملی کازرون: برای حضور در مسابقات هندبال آسیایی نیاز به حمایت داریم,sport
رئیس کمیته داوران سوارکاری: در مسیر پیشرفت هستیم/ سوارکاران از شجاع‌ترین ورزشکاران هستند,sport
تاج: سرمربی تیم امید این هفته انتخاب می‌شود,sport
قدرتنمایی حریف یزدانی سوژه اتحادیه جهانی کشتی,sport
حبیب کاشانی مدیر تیم فوتبال امید شد,sport
برزگر: فاصله نفرات اصلی کشتی با تیم دوم زیاد است/ یزدانی در ایران چالشی ندارد,sport
کردستان میزبان رقابت‌های دو کوهستان قهرمانی کشور,sport
گولسیانی: جایی برای لیزراندازان در ورزشگاه نیست,sport
توافق اولیه گزینه سرمربیگری تیم امید با تاج,sport
رادوشویچ دریافت قسط دوم را به فیفا اعلام کرد,sport
کاظمی: امیدوارم اتفاقات تیم ملی به سود بسکتبال ایران باشد/باید جنبه برد و باخت داشته باشیم,sport
آغاز مذاکره تاج با خسروی‌وفا بر سر امیدها,sport
نهرودی: جهانی بوکس رویدادی تدارکاتی برای ما خواهد بود/ هدف‌مان موفقیت در هانگژو است,sport
دستور سجادی برای تعیین تکلیف تیم فوتبال امید برای حضور در هانگژو,sport
مشایخی: لیگِ طولانی بازیکنان را دچار مشکل می‌کند,sport
امامی: نتایج دور از انتظار آزادکاران بررسی می‌شود,sport
طیبی: ظرفیت قهرمانی در جام‌جهانی فوتسال را داریم,sport
لقب جالب لورکوزنی‌ها به آزمون,sport
قدرت‌نمایی کشتی سامورایی‌ها با ژن‌ِ ایرانی,sport
کریمی: احکام مشاوران باشگاه استقلال فاقد اعتبار است,sport
رشته‌های اعزامی به بازی‌های آسیایی هانگژو مشخص شد,sport
جریمه سنگین بالانشینان لیگ برتر فوتبال,sport
تهدید ستاد عالی جواب داد؛جلسه فوق‌العاده فدراسیون فوتبال با کمیته المپیک,sport
شمسایی: یک سال مانده به جام جهانی باید با آرامش بیشتری کار کنیم,sport
ساعت دیدار تیم‌های فوتسال ایران و ازبکستان تغییر کرد,sport
سرمربی فوتسال ازبکستان: برای شکست تیم ایران به تهران آمده‌ایم,sport
